商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆チャイ,HOT,,ランチセット　紅茶・抹茶,内税,7640,38.9,7640,38.9,13,36.1,0,0.0,10438,,
☆ET,ストレート,,ランチセット　紅茶・抹茶,内税,2500,12.7,2500,12.7,5,13.9,0,0.0,10432,,
☆ゆず,HOT,,ランチセット　紅茶・抹茶,内税,1500,7.6,1500,7.6,3,8.3,0,0.0,10436,,
☆抹ラテ,HOT,,ランチセット　紅茶・抹茶,内税,1180,6.0,1180,6.0,2,5.6,0,0.0,10444,,
☆ET,ミルク,,ランチセット　紅茶・抹茶,内税,1000,5.1,1000,5.1,2,5.6,0,0.0,10432,,
☆IRMT,,,ランチセット　紅茶・抹茶,内税,580,3.0,580,3.0,1,2.8,0,0.0,10441,,
☆GT,,,ランチセット　紅茶・抹茶,内税,580,3.0,580,3.0,1,2.8,0,0.0,10442,,
☆抹ラテ,,,ランチセット　紅茶・抹茶,内税,580,3.0,580,3.0,1,2.8,0,0.0,10444,,
☆I抹ラテ,,,ランチセット　紅茶・抹茶,内税,580,3.0,580,3.0,1,2.8,0,0.0,10445,,
☆IET,ストレート,,ランチセット　紅茶・抹茶,内税,500,2.5,500,2.5,1,2.8,0,0.0,10433,,
☆IET,レモン,,ランチセット　紅茶・抹茶,内税,500,2.5,500,2.5,1,2.8,0,0.0,10433,,
☆ST,ストレート,,ランチセット　紅茶・抹茶,内税,500,2.5,500,2.5,1,2.8,0,0.0,10434,,
☆IST,ミルク,,ランチセット　紅茶・抹茶,内税,500,2.5,500,2.5,1,2.8,0,0.0,10435,,
☆ゆず,,,ランチセット　紅茶・抹茶,内税,500,2.5,500,2.5,1,2.8,0,0.0,10436,,
☆ゆず,ICE,,ランチセット　紅茶・抹茶,内税,500,2.5,500,2.5,1,2.8,0,0.0,10436,,
☆Iゆず,,,ランチセット　紅茶・抹茶,内税,500,2.5,500,2.5,1,2.8,0,0.0,10437,,
