商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆BC,,,ランチセット　コーヒー,内税,19900,89.6,19900,89.6,34,89.5,0,0.0,10328,,
☆IC,,,ランチセット　コーヒー,内税,2320,10.4,2320,10.4,4,10.5,0,0.0,10329,,
