商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆ラテ,HOT,,ランチセット　エスプレッソ,内税,6050,29.2,6050,29.2,11,28.9,0,0.0,10423,,
☆O,ホイップ有り,,ランチセット　エスプレッソ,内税,3300,15.9,3300,15.9,6,15.8,0,0.0,10421,,
☆ラテ,ICE,,ランチセット　エスプレッソ,内税,2750,13.3,2750,13.3,5,13.2,0,0.0,10423,,
☆O,ホイップ無し,,ランチセット　エスプレッソ,内税,2200,10.6,2200,10.6,4,10.5,0,0.0,10421,,
☆カプチ,シナモン有り,,ランチセット　エスプレッソ,内税,2200,10.6,2200,10.6,4,10.5,0,0.0,10425,,
☆IO,,,ランチセット　エスプレッソ,内税,1100,5.3,1100,5.3,2,5.3,0,0.0,10422,,
☆AC,食事と共,,ランチセット　エスプレッソ,内税,1000,4.8,1000,4.8,2,5.3,0,0.0,10419,,
☆Iラテ,,,ランチセット　エスプレッソ,内税,550,2.7,550,2.7,1,2.6,0,0.0,10424,,
☆カフェモカ,HOT,,ランチセット　エスプレッソ,内税,550,2.7,550,2.7,1,2.6,0,0.0,10426,,
☆キャララテ,HOT,,ランチセット　エスプレッソ,内税,550,2.7,550,2.7,1,2.6,0,0.0,10428,,
☆ESPトニック,,,ランチセット　エスプレッソ,内税,500,2.4,500,2.4,1,2.6,0,0.0,10458,,
