商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
Iラテ,,,エスプレッソ,内税,88320,33.5,88320,33.5,128,30.9,0,0.0,10016,,
ラテ,,,エスプレッソ,内税,38890,14.7,38890,14.7,59,14.3,0,0.0,10015,,
IO,,,エスプレッソ,内税,27720,10.5,27720,10.5,42,10.1,0,0.0,10022,,
IAC ,,,エスプレッソ,内税,24940,9.5,24940,9.5,43,10.4,0,0.0,10345,,
AC ,,,エスプレッソ,内税,18550,7.0,18550,7.0,35,8.5,0,0.0,10013,,
O,,,エスプレッソ,内税,16380,6.2,16380,6.2,26,6.3,0,0.0,10021,,
カプチ,,,エスプレッソ,内税,12240,4.6,12240,4.6,18,4.3,0,0.0,10014,,
Iキャララテ,,,エスプレッソ,内税,9940,3.8,9940,3.8,14,3.4,0,0.0,10020,,
Iカフェモカ,,,エスプレッソ,内税,7100,2.7,7100,2.7,10,2.4,0,0.0,10018,,
キャララテ,,,エスプレッソ,内税,5440,2.1,5440,2.1,8,1.9,0,0.0,10019,,
lデカフェラテ,,,エスプレッソ,内税,3650,1.4,3650,1.4,5,1.2,0,0.0,10277,,
ESP W,,,エスプレッソ,内税,3150,1.2,3150,1.2,5,1.2,0,0.0,10202,,
デカフェラテ,,,エスプレッソ,内税,2800,1.1,2800,1.1,4,1.0,0,0.0,10276,,
カフェモカ,,,エスプレッソ,内税,2720,1.0,2720,1.0,4,1.0,0,0.0,10017,,
豆乳,,,エスプレッソ,内税,880,0.3,880,0.3,11,2.7,0,0.0,10498,,
Iデカフェキャララテ,,,エスプレッソ,内税,750,0.3,750,0.3,1,0.2,0,0.0,10497,,
ESP ,,,エスプレッソ,内税,430,0.2,430,0.2,1,0.2,0,0.0,10012,,
