商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
IET,,,紅茶　抹茶,内税,32760,15.1,32760,15.1,52,15.7,0,0.0,10036,,
チャイ,,,紅茶　抹茶,内税,29920,13.8,29920,13.8,44,13.3,0,0.0,10041,,
IGTO,,,紅茶　抹茶,内税,27200,12.5,27200,12.5,40,12.1,0,0.0,10046,,
Iゆず,,,紅茶　抹茶,内税,20160,9.3,20160,9.3,32,9.7,0,0.0,10040,,
抹ラテ,,,紅茶　抹茶,内税,19040,8.8,19040,8.8,28,8.5,0,0.0,10047,,
Iチャイ,,,紅茶　抹茶,内税,18460,8.5,18460,8.5,26,7.9,0,0.0,10042,,
I抹ラテ,,,紅茶　抹茶,内税,18460,8.5,18460,8.5,26,7.9,0,0.0,10048,,
ET,,,紅茶　抹茶,内税,15080,6.9,15080,6.9,26,7.9,0,0.0,10035,,
IST,,,紅茶　抹茶,内税,10710,4.9,10710,4.9,17,5.1,0,0.0,10038,,
ゆず,,,紅茶　抹茶,内税,10440,4.8,10440,4.8,18,5.4,0,0.0,10039,,
抹茶(お菓子付き),,,紅茶　抹茶,内税,6800,3.1,6800,3.1,8,2.4,0,0.0,10049,,
ST,,,紅茶　抹茶,内税,4640,2.1,4640,2.1,8,2.4,0,0.0,10037,,
IGT,,,紅茶　抹茶,内税,3150,1.4,3150,1.4,5,1.5,0,0.0,10045,,
RMT,,,紅茶　抹茶,内税,680,0.3,680,0.3,1,0.3,0,0.0,10043,,
