商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネソーダ,,,ソフトドリンク,内税,41480,34.5,41480,34.5,61,32.4,0,0.0,10215,,
バナJ,,,ソフトドリンク,内税,27200,22.6,27200,22.6,40,21.3,0,0.0,10057,,
Iレモネード,,,ソフトドリンク,内税,15840,13.2,15840,13.2,24,12.8,0,0.0,10214,,
GA,,,ソフトドリンク,内税,8850,7.4,8850,7.4,18,9.6,0,0.0,10056,,
りんごJ,,,ソフトドリンク,内税,6500,5.4,6500,5.4,13,6.9,0,0.0,10055,,
ESPトニック,,,ソフトドリンク,内税,6120,5.1,6120,5.1,9,4.8,0,0.0,10216,,
Iココア,,,ソフトドリンク,内税,4760,4.0,4760,4.0,7,3.7,0,0.0,10051,,
ココア,,,ソフトドリンク,内税,3150,2.6,3150,2.6,5,2.7,0,0.0,10050,,
レモネード,,,ソフトドリンク,内税,3150,2.6,3150,2.6,5,2.7,0,0.0,10213,,
Iミルク,,,ソフトドリンク,内税,2120,1.8,2120,1.8,4,2.1,0,0.0,10053,,
ミルク,,,ソフトドリンク,内税,950,0.8,950,0.8,2,1.1,0,0.0,10052,,
