商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆レモネソーダ,,,ランチセット　ソフトドリンク,内税,15000,40.8,15000,40.8,30,38.0,0,0.0,10457,,
☆バナナJ,,,ランチセット　ソフトドリンク,内税,8000,21.8,8000,21.8,16,20.3,0,0.0,10454,,
☆りんごJ,,,ランチセット　ソフトドリンク,内税,4000,10.9,4000,10.9,10,12.7,0,0.0,10453,,
☆GA,,,ランチセット　ソフトドリンク,内税,3600,9.8,3600,9.8,9,11.4,0,0.0,10452,,
☆Iレモネード,,,ランチセット　ソフトドリンク,内税,3380,9.2,3380,9.2,7,8.9,0,0.0,10456,,
☆コーラ,,,ランチセット　ソフトドリンク,内税,800,2.2,800,2.2,2,2.5,0,0.0,10451,,
☆ICEミルク,,,ランチセット　ソフトドリンク,内税,660,1.8,660,1.8,2,2.5,0,0.0,10450,,
☆レモネード,,,ランチセット　ソフトドリンク,内税,500,1.4,500,1.4,1,1.3,0,0.0,10455,,
☆ココア,,,ランチセット　ソフトドリンク,内税,430,1.2,430,1.2,1,1.3,0,0.0,10447,,
☆ミルク,,,ランチセット　ソフトドリンク,内税,400,1.1,400,1.1,1,1.3,0,0.0,10449,,
