商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆Iラテ,,,ランチセット　エスプレッソ,内税,20020,41.2,20020,41.2,38,40.0,0,0.0,10424,,
☆IO,,,ランチセット　エスプレッソ,内税,7890,16.2,7890,16.2,15,15.8,0,0.0,10422,,
☆ラテ,,,ランチセット　エスプレッソ,内税,6110,12.6,6110,12.6,12,12.6,0,0.0,10423,,
☆AC,,,ランチセット　エスプレッソ,内税,3310,6.8,3310,6.8,7,7.4,0,0.0,10419,,
☆O,,,ランチセット　エスプレッソ,内税,2470,5.1,2470,5.1,5,5.3,0,0.0,10421,,
☆IAC,,,ランチセット　エスプレッソ,内税,2400,4.9,2400,4.9,5,5.3,0,0.0,10420,,
☆カプチ,,,ランチセット　エスプレッソ,内税,2050,4.2,2050,4.2,4,4.2,0,0.0,10425,,
☆Iキャララテ,,,ランチセット　エスプレッソ,内税,1640,3.4,1640,3.4,3,3.2,0,0.0,10429,,
☆ESPトニック,,,ランチセット　エスプレッソ,内税,1000,2.1,1000,2.1,2,2.1,0,0.0,10458,,
☆Iカフェモカ,,,ランチセット　エスプレッソ,内税,550,1.1,550,1.1,1,1.1,0,0.0,10427,,
☆Iデカフェラテ,,,ランチセット　エスプレッソ,内税,550,1.1,550,1.1,1,1.1,0,0.0,10515,,
☆デカフェラテ,,,ランチセット　エスプレッソ,内税,520,1.1,520,1.1,1,1.1,0,0.0,10516,,
☆豆乳変更,,,ランチセット　エスプレッソ,内税,80,0.2,80,0.2,1,1.1,0,0.0,10522,,
