商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆IC,,,ランチセット　コーヒー,内税,39440,59.8,39440,59.8,68,58.6,0,0.0,10329,,
☆BC,,,ランチセット　コーヒー,内税,18620,28.2,18620,28.2,34,29.3,0,0.0,10328,,
☆ICEモカ,,,ランチセット　コーヒー,内税,1740,2.6,1740,2.6,3,2.6,0,0.0,10337,,
☆ICEダークロースト,,,ランチセット　コーヒー,内税,1700,2.6,1700,2.6,3,2.6,0,0.0,10331,,
☆ICEマンデリン,,,ランチセット　コーヒー,内税,1160,1.8,1160,1.8,2,1.7,0,0.0,10335,,
☆ブラジル,,,ランチセット　コーヒー,内税,1160,1.8,1160,1.8,2,1.7,0,0.0,10340,,
☆デカフェ,,,ランチセット　コーヒー,内税,1060,1.6,1060,1.6,2,1.7,0,0.0,10332,,
☆マンデリン,,,ランチセット　コーヒー,内税,530,0.8,530,0.8,1,0.9,0,0.0,10334,,
☆ダークロースト,,,ランチセット　コーヒー,内税,510,0.8,510,0.8,1,0.9,0,0.0,10330,,
