商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネードアイストースト,,,Lunchレモネードアイストースト,内税,5000,53.8,5000,53.8,5,38.5,0,0.0,10750,,
☆,りんごJ,,Lunchレモネードアイストースト,内税,1000,10.8,1000,10.8,2,15.4,0,0.0,10802,,
☆,BC,,Lunchレモネードアイストースト,内税,600,6.5,600,6.5,1,7.7,0,0.0,10803,,
☆,HOTチャイ,,Lunchレモネードアイストースト,内税,600,6.5,600,6.5,1,7.7,0,0.0,10804,,
☆,HOT抹茶ラテ,,Lunchレモネードアイストースト,内税,600,6.5,600,6.5,1,7.7,0,0.0,10804,,
☆,ICEミルク,,Lunchレモネードアイストースト,内税,500,5.4,500,5.4,1,7.7,0,0.0,10802,,
☆,HOTレモネード,,Lunchレモネードアイストースト,内税,500,5.4,500,5.4,1,7.7,0,0.0,10802,,
☆,ICEゆず茶,,Lunchレモネードアイストースト,内税,500,5.4,500,5.4,1,7.7,0,0.0,10802,,
