商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
ピザトースト,タバスコ無し,,Lunchピザトースト,内税,18000,43.1,18000,43.1,24,39.3,0,0.0,10789,,
ピザトースト,タバスコあり,,Lunchピザトースト,内税,12000,28.7,12000,28.7,16,26.2,0,0.0,10789,,
☆,BC,,Lunchピザトースト,内税,3000,7.2,3000,7.2,5,8.2,0,0.0,10791,,
☆,ICE ラテ,,Lunchピザトースト,内税,1650,3.9,1650,3.9,3,4.9,0,0.0,10791,,
☆,IC,,Lunchピザトースト,内税,1200,2.9,1200,2.9,2,3.3,0,0.0,10791,,
☆,生ビール,,Lunchピザトースト,内税,1200,2.9,1200,2.9,2,3.3,0,0.0,10830,,
☆,ICEチャイ,,Lunchピザトースト,内税,600,1.4,600,1.4,1,1.6,0,0.0,10792,,
☆,O,　ホイップあり,Lunchピザトースト,内税,550,1.3,550,1.3,1,1.6,0,0.0,10791,,
☆,HOT ラテ,,Lunchピザトースト,内税,550,1.3,550,1.3,1,1.6,0,0.0,10791,,
☆,カプチーノ,　シナモンあり,Lunchピザトースト,内税,550,1.3,550,1.3,1,1.6,0,0.0,10791,,
☆,コーラ,,Lunchピザトースト,内税,500,1.2,500,1.2,1,1.6,0,0.0,10790,,
☆,バナナジュース,,Lunchピザトースト,内税,500,1.2,500,1.2,1,1.6,0,0.0,10790,,
☆,ICEレモネード,,Lunchピザトースト,内税,500,1.2,500,1.2,1,1.6,0,0.0,10790,,
☆,レモネードソーダ,,Lunchピザトースト,内税,500,1.2,500,1.2,1,1.6,0,0.0,10790,,
☆,EST,,Lunchピザトースト,内税,500,1.2,500,1.2,1,1.6,0,0.0,10792,,
