商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
チャウダーハーフ,普通,,Lunchチャウダーハーフ,内税,81900,64.8,81900,64.8,63,52.9,0,0.0,10119,,
チャウダーハーフ,ご飯少なめ,,Lunchチャウダーハーフ,内税,14300,11.3,14300,11.3,11,9.2,0,0.0,10119,,
チャウダーハーフ,全部大盛,,Lunchチャウダーハーフ,内税,8000,6.3,8000,6.3,5,4.2,0,0.0,10119,,
☆,BC,,Lunchチャウダーハーフ,内税,5400,4.3,5400,4.3,9,7.6,0,0.0,10822,,
☆,Hチャイ,,Lunchチャウダーハーフ,内税,2400,1.9,2400,1.9,4,3.4,0,0.0,10823,,
☆,ICEレモネード,,Lunchチャウダーハーフ,内税,2000,1.6,2000,1.6,4,3.4,0,0.0,10824,,
チャウダーハーフ,ご飯大盛,,Lunchチャウダーハーフ,内税,1450,1.1,1450,1.1,1,0.8,0,0.0,10119,,
☆,IO,,Lunchチャウダーハーフ,内税,1100,0.9,1100,0.9,2,1.7,0,0.0,10822,,
☆,IST,,Lunchチャウダーハーフ,内税,1000,0.8,1000,0.8,2,1.7,0,0.0,10823,,
☆,コーラ,,Lunchチャウダーハーフ,内税,1000,0.8,1000,0.8,2,1.7,0,0.0,10824,,
☆,レモネードソーダ,,Lunchチャウダーハーフ,内税,1000,0.8,1000,0.8,2,1.7,0,0.0,10824,,
☆,IC,,Lunchチャウダーハーフ,内税,600,0.5,600,0.5,1,0.8,0,0.0,10822,,
☆,O,ホイップあり,Lunchチャウダーハーフ,内税,550,0.4,550,0.4,1,0.8,0,0.0,10822,,
☆,O,ホイップ無し,Lunchチャウダーハーフ,内税,550,0.4,550,0.4,1,0.8,0,0.0,10822,,
☆,HOTラテ,,Lunchチャウダーハーフ,内税,550,0.4,550,0.4,1,0.8,0,0.0,10822,,
☆,カプチーノ,シナモンあり,Lunchチャウダーハーフ,内税,550,0.4,550,0.4,1,0.8,0,0.0,10822,,
☆,HOTキャラメルラテ,,Lunchチャウダーハーフ,内税,550,0.4,550,0.4,1,0.8,0,0.0,10822,,
☆,HAC,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10822,,
☆,IAC,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10822,,
☆,IEST,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10823,,
☆,ST,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10823,,
☆,りんごJ,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10824,,
☆,GA,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10824,,
☆,バナナジュース,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10824,,
☆,豆乳変更,,Lunchチャウダーハーフ,内税,80,0.1,80,0.1,1,0.8,0,0.0,10823,,
