商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆Iラテ,,,ランチセット　エスプレッソ,内税,18360,45.5,18360,45.5,36,44.4,0,0.0,10424,,
☆IAC,,,ランチセット　エスプレッソ,内税,5280,13.1,5280,13.1,11,13.6,0,0.0,10420,,
☆IO,,,ランチセット　エスプレッソ,内税,3570,8.9,3570,8.9,7,8.6,0,0.0,10422,,
☆ラテ,,,ランチセット　エスプレッソ,内税,3360,8.3,3360,8.3,7,8.6,0,0.0,10423,,
☆O,,,ランチセット　エスプレッソ,内税,2880,7.1,2880,7.1,6,7.4,0,0.0,10421,,
☆AC,,,ランチセット　エスプレッソ,内税,2150,5.3,2150,5.3,5,6.2,0,0.0,10419,,
☆カプチ,,,ランチセット　エスプレッソ,内税,1500,3.7,1500,3.7,3,3.7,0,0.0,10425,,
☆Iカフェモカ,,,ランチセット　エスプレッソ,内税,1080,2.7,1080,2.7,2,2.5,0,0.0,10427,,
☆Iキャララテ,,,ランチセット　エスプレッソ,内税,1080,2.7,1080,2.7,2,2.5,0,0.0,10429,,
☆Iデカフェラテ,,,ランチセット　エスプレッソ,内税,550,1.4,550,1.4,1,1.2,0,0.0,10515,,
☆キャララテ,,,ランチセット　エスプレッソ,内税,510,1.3,510,1.3,1,1.2,0,0.0,10428,,
