商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
チャウダーハーフ,普通,,Lunchチャウダーハーフ,内税,98800,70.2,98800,70.2,77,65.3,1,50.0,10119,,
チャウダーハーフ,ご飯少なめ,,Lunchチャウダーハーフ,内税,23400,16.6,23400,16.6,18,15.3,0,0.0,10119,,
チャウダーハーフ,全部大盛,,Lunchチャウダーハーフ,内税,8500,6.0,8500,6.0,5,4.2,0,0.0,10119,,
☆,生ビール,,Lunchチャウダーハーフ,内税,1300,0.9,1300,0.9,2,1.7,0,0.0,10839,,
☆,BC,,Lunchチャウダーハーフ,内税,1200,0.9,1200,0.9,2,1.7,0,0.0,10822,,
☆,IAC,,Lunchチャウダーハーフ,内税,1100,0.8,1100,0.8,3,2.5,1,50.0,10822,,
☆,ICEキャラメルラテ,,Lunchチャウダーハーフ,内税,650,0.5,650,0.5,1,0.8,0,0.0,10822,,
☆,Iチャイ,,Lunchチャウダーハーフ,内税,650,0.5,650,0.5,1,0.8,0,0.0,10823,,
☆,IC,,Lunchチャウダーハーフ,内税,600,0.4,600,0.4,1,0.8,0,0.0,10822,,
☆,IO,,Lunchチャウダーハーフ,内税,600,0.4,600,0.4,1,0.8,0,0.0,10822,,
☆,HOTラテ,,Lunchチャウダーハーフ,内税,600,0.4,600,0.4,1,0.8,0,0.0,10822,,
☆,バナナジュース,,Lunchチャウダーハーフ,内税,600,0.4,600,0.4,1,0.8,0,0.0,10824,,
☆,ICEレモネード,,Lunchチャウダーハーフ,内税,600,0.4,600,0.4,1,0.8,0,0.0,10824,,
☆,レモネードソーダ,,Lunchチャウダーハーフ,内税,600,0.4,600,0.4,1,0.8,0,0.0,10824,,
☆,HAC,,Lunchチャウダーハーフ,内税,550,0.4,550,0.4,1,0.8,0,0.0,10822,,
☆,EST,,Lunchチャウダーハーフ,内税,550,0.4,550,0.4,1,0.8,0,0.0,10823,,
☆,コーラ,,Lunchチャウダーハーフ,内税,500,0.4,500,0.4,1,0.8,0,0.0,10824,,
