商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
ピザトースト,タバスコ無し,,Lunchピザトースト,内税,20250,43.6,20250,43.6,28,41.8,1,100.0,10789,,
ピザトースト,タバスコあり,,Lunchピザトースト,内税,15750,33.9,15750,33.9,21,31.3,0,0.0,10789,,
☆,AC,,Lunchピザトースト,内税,2750,5.9,2750,5.9,5,7.5,0,0.0,10791,,
☆,BC,,Lunchピザトースト,内税,1800,3.9,1800,3.9,3,4.5,0,0.0,10791,,
☆,IEST,,Lunchピザトースト,内税,1650,3.6,1650,3.6,3,4.5,0,0.0,10792,,
☆,HOT ラテ,,Lunchピザトースト,内税,1200,2.6,1200,2.6,2,3.0,0,0.0,10791,,
☆,IC,,Lunchピザトースト,内税,1200,2.6,1200,2.6,2,3.0,0,0.0,10791,,
☆,ICE抹茶ラテ,,Lunchピザトースト,内税,650,1.4,650,1.4,1,1.5,0,0.0,10792,,
☆,バナナジュース,,Lunchピザトースト,内税,600,1.3,600,1.3,1,1.5,0,0.0,10790,,
☆,ICE ラテ,,Lunchピザトースト,内税,600,1.3,600,1.3,1,1.5,0,0.0,10791,,
