商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
カレー,普通,,Lunchカレー,内税,161200,47.1,161200,47.1,124,31.6,0,0.0,10355,,
カレー,ご飯少なめ,,Lunchカレー,内税,24700,7.2,24700,7.2,19,4.8,0,0.0,10355,,
☆,IC,,Lunchカレー,内税,15000,4.4,15000,4.4,25,6.4,0,0.0,10810,,
☆,BC,,Lunchカレー,内税,14400,4.2,14400,4.2,24,6.1,0,0.0,10810,,
☆,レモネードソーダ,,Lunchカレー,内税,11400,3.3,11400,3.3,19,4.8,0,0.0,10812,,
☆,生ビール,,Lunchカレー,内税,10400,3.0,10400,3.0,16,4.1,0,0.0,10835,,
☆,ICEラテ,,Lunchカレー,内税,10200,3.0,10200,3.0,17,4.3,0,0.0,10810,,
☆,HOTラテ,,Lunchカレー,内税,8400,2.5,8400,2.5,14,3.6,0,0.0,10810,,
カレー,全部大盛,,Lunchカレー,内税,6800,2.0,6800,2.0,4,1.0,0,0.0,10355,,
☆,バナナジュース,,Lunchカレー,内税,6600,1.9,6600,1.9,11,2.8,0,0.0,10812,,
カレー,ご飯大盛,,Lunchカレー,内税,6000,1.8,6000,1.8,4,1.0,0,0.0,10355,,
☆,ICEレモネード,,Lunchカレー,内税,6000,1.8,6000,1.8,10,2.6,0,0.0,10812,,
☆,GA,,Lunchカレー,内税,5500,1.6,5500,1.6,11,2.8,0,0.0,10812,,
☆,カプチーノ,シナモンあり,Lunchカレー,内税,5400,1.6,5400,1.6,9,2.3,0,0.0,10810,,
☆,I抹茶ラテ,,Lunchカレー,内税,5200,1.5,5200,1.5,8,2.0,0,0.0,10811,,
☆,HAC,,Lunchカレー,内税,4400,1.3,4400,1.3,8,2.0,0,0.0,10810,,
☆,IO,,Lunchカレー,内税,3600,1.1,3600,1.1,6,1.5,0,0.0,10810,,
☆,IAC,,Lunchカレー,内税,3300,1.0,3300,1.0,6,1.5,0,0.0,10810,,
☆,白ワイン,,Lunchカレー,内税,3250,0.9,3250,0.9,5,1.3,0,0.0,10835,,
☆,りんごJ,,Lunchカレー,内税,2500,0.7,2500,0.7,5,1.3,0,0.0,10812,,
☆,EST,,Lunchカレー,内税,2200,0.6,2200,0.6,4,1.0,0,0.0,10811,,
☆,IEST,,Lunchカレー,内税,2200,0.6,2200,0.6,4,1.0,0,0.0,10811,,
☆,ICEゆず茶,,Lunchカレー,内税,2200,0.6,2200,0.6,4,1.0,0,0.0,10811,,
☆,ICEキャラメルラテ,,Lunchカレー,内税,1950,0.6,1950,0.6,3,0.8,0,0.0,10810,,
☆,Hチャイ,,Lunchカレー,内税,1950,0.6,1950,0.6,3,0.8,0,0.0,10811,,
☆,抹茶ラテ,,Lunchカレー,内税,1950,0.6,1950,0.6,3,0.8,0,0.0,10811,,
☆,IST,,Lunchカレー,内税,1650,0.5,1650,0.5,3,0.8,0,0.0,10811,,
☆,HOTカフェモカ,,Lunchカレー,内税,1300,0.4,1300,0.4,2,0.5,0,0.0,10810,,
☆,Iチャイ,,Lunchカレー,内税,1300,0.4,1300,0.4,2,0.5,0,0.0,10811,,
☆,IGT,,Lunchカレー,内税,1300,0.4,1300,0.4,2,0.5,0,0.0,10811,,
☆,O,ホイップあり,Lunchカレー,内税,1200,0.4,1200,0.4,2,0.5,0,0.0,10810,,
☆,O,ホイップ無し,Lunchカレー,内税,1200,0.4,1200,0.4,2,0.5,0,0.0,10810,,
☆,HOTレモネード,,Lunchカレー,内税,1200,0.4,1200,0.4,2,0.5,0,0.0,10812,,
☆,ST,,Lunchカレー,内税,1100,0.3,1100,0.3,2,0.5,0,0.0,10811,,
☆,HOTゆず茶,,Lunchカレー,内税,1100,0.3,1100,0.3,2,0.5,0,0.0,10811,,
☆,コーラ,,Lunchカレー,内税,1000,0.3,1000,0.3,2,0.5,0,0.0,10812,,
☆,HOTキャラメルラテ,,Lunchカレー,内税,650,0.2,650,0.2,1,0.3,0,0.0,10810,,
☆,IGTO,,Lunchカレー,内税,650,0.2,650,0.2,1,0.3,0,0.0,10811,,
☆,赤ワイン,,Lunchカレー,内税,650,0.2,650,0.2,1,0.3,0,0.0,10835,,
☆,カプチーノ,シナモンなし,Lunchカレー,内税,600,0.2,600,0.2,1,0.3,0,0.0,10810,,
☆,エスプレッソトニック,,Lunchカレー,内税,600,0.2,600,0.2,1,0.3,0,0.0,10812,,
