商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
タコ,普通,,Lunchタコライス,内税,89700,82.9,89700,82.9,69,72.6,0,0.0,10118,,
タコ,ご飯少なめ,,Lunchタコライス,内税,3900,3.6,3900,3.6,3,3.2,0,0.0,10118,,
タコ,全部大盛,,Lunchタコライス,内税,3200,3.0,3200,3.0,2,2.1,0,0.0,10118,,
☆,OJ,,Lunchタコライス,内税,1500,1.4,1500,1.4,3,3.2,0,0.0,10813,,
☆,BC,,Lunchタコライス,内税,1200,1.1,1200,1.1,2,2.1,0,0.0,10814,,
☆,ICEラテ,,Lunchタコライス,内税,1100,1.0,1100,1.0,2,2.1,0,0.0,10814,,
☆,HOTキャラメルラテ,,Lunchタコライス,内税,1100,1.0,1100,1.0,2,2.1,0,0.0,10814,,
☆,ICEレモネード,,Lunchタコライス,内税,1000,0.9,1000,0.9,2,2.1,0,0.0,10813,,
☆,Hチャイ,,Lunchタコライス,内税,600,0.6,600,0.6,1,1.1,0,0.0,10814,,
☆,IGTO,,Lunchタコライス,内税,600,0.6,600,0.6,1,1.1,0,0.0,10814,,
☆,HOTチャイ,,Lunchタコライス,内税,600,0.6,600,0.6,1,1.1,0,0.0,10815,,
☆,ICEチャイ,,Lunchタコライス,内税,600,0.6,600,0.6,1,1.1,0,0.0,10815,,
☆,カプチーノ,シナモンあり,Lunchタコライス,内税,550,0.5,550,0.5,1,1.1,0,0.0,10813,,
☆,レモネードソーダ,,Lunchタコライス,内税,500,0.5,500,0.5,1,1.1,0,0.0,10813,,
☆,HOTゆず茶,,Lunchタコライス,内税,500,0.5,500,0.5,1,1.1,0,0.0,10814,,
☆,EST,,Lunchタコライス,内税,500,0.5,500,0.5,1,1.1,0,0.0,10815,,
☆,バナナジュース,,Lunchタコライス,内税,500,0.5,500,0.5,1,1.1,0,0.0,10815,,
☆,レモネードソーダ,,Lunchタコライス,内税,500,0.5,500,0.5,1,1.1,0,0.0,10815,,
