商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
ピザトースト,タバスコ無し,,Lunchピザトースト,内税,14250,36.2,14250,36.2,19,32.2,0,0.0,10789,,
ピザトースト,タバスコあり,,Lunchピザトースト,内税,12000,30.5,12000,30.5,16,27.1,0,0.0,10789,,
☆,BC,,Lunchピザトースト,内税,2400,6.1,2400,6.1,4,6.8,0,0.0,10791,,
☆,IC,,Lunchピザトースト,内税,1800,4.6,1800,4.6,3,5.1,0,0.0,10791,,
☆,HOT ラテ,,Lunchピザトースト,内税,1650,4.2,1650,4.2,3,5.1,0,0.0,10791,,
☆,GA,,Lunchピザトースト,内税,1000,2.5,1000,2.5,2,3.4,0,0.0,10790,,
☆,レモネードソーダ,,Lunchピザトースト,内税,1000,2.5,1000,2.5,2,3.4,0,0.0,10790,,
☆,EST,,Lunchピザトースト,内税,1000,2.5,1000,2.5,2,3.4,0,0.0,10792,,
☆,IEST,,Lunchピザトースト,内税,1000,2.5,1000,2.5,2,3.4,0,0.0,10792,,
☆,BC,,Lunchピザトースト,内税,600,1.5,600,1.5,1,1.7,0,0.0,10792,,
☆,HOTチャイ,,Lunchピザトースト,内税,600,1.5,600,1.5,1,1.7,0,0.0,10792,,
☆,HOTキャラメルラテ,,Lunchピザトースト,内税,550,1.4,550,1.4,1,1.7,0,0.0,10791,,
☆,バナナジュース,,Lunchピザトースト,内税,500,1.3,500,1.3,1,1.7,0,0.0,10790,,
☆,ICEレモネード,,Lunchピザトースト,内税,500,1.3,500,1.3,1,1.7,0,0.0,10790,,
☆,AC,,Lunchピザトースト,内税,500,1.3,500,1.3,1,1.7,0,0.0,10791,,
