商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
小倉トースト,,,Lunch小倉トースト,内税,9000,54.7,9000,54.7,12,48.0,0,0.0,10747,,
☆,GT,,Lunch小倉トースト,内税,1800,10.9,1800,10.9,3,12.0,0,0.0,10795,,
☆,ICE ラテ,,Lunch小倉トースト,内税,1650,10.0,1650,10.0,3,12.0,0,0.0,10794,,
☆,生ビール,,Lunch小倉トースト,内税,1200,7.3,1200,7.3,2,8.0,0,0.0,10831,,
☆,BC,,Lunch小倉トースト,内税,600,3.6,600,3.6,1,4.0,0,0.0,10794,,
☆,IC,,Lunch小倉トースト,内税,600,3.6,600,3.6,1,4.0,0,0.0,10794,,
☆,O,　ホイップ無し,Lunch小倉トースト,内税,550,3.3,550,3.3,1,4.0,0,0.0,10794,,
☆,カプチーノ,　シナモン無し,Lunch小倉トースト,内税,550,3.3,550,3.3,1,4.0,0,0.0,10794,,
☆,AC,,Lunch小倉トースト,内税,500,3.0,500,3.0,1,4.0,0,0.0,10794,,
