商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
カレー,普通,,Lunchカレー,内税,63700,68.5,63700,68.5,49,58.3,0,0.0,10355,,
カレー,ご飯大盛,,Lunchカレー,内税,7250,7.8,7250,7.8,5,6.0,0,0.0,10355,,
カレー,ご飯少なめ,,Lunchカレー,内税,6500,7.0,6500,7.0,5,6.0,0,0.0,10355,,
カレー,全部大盛,,Lunchカレー,内税,3200,3.4,3200,3.4,2,2.4,0,0.0,10355,,
☆,バナナジュース,,Lunchカレー,内税,1500,1.6,1500,1.6,3,3.6,0,0.0,10812,,
☆,ロイヤル,,Lunchカレー,内税,1100,1.2,1100,1.2,2,2.4,0,0.0,10811,,
☆,IAC,,Lunchカレー,内税,1000,1.1,1000,1.1,2,2.4,0,0.0,10810,,
☆,HOTラテ,,Lunchカレー,内税,1000,1.1,1000,1.1,2,2.4,0,0.0,10810,,
☆,IEST,,Lunchカレー,内税,1000,1.1,1000,1.1,2,2.4,0,0.0,10812,,
☆,BC,,Lunchカレー,内税,600,0.6,600,0.6,1,1.2,0,0.0,10810,,
☆,Hチャイ,,Lunchカレー,内税,600,0.6,600,0.6,1,1.2,0,0.0,10811,,
☆,IGTO,,Lunchカレー,内税,600,0.6,600,0.6,1,1.2,0,0.0,10811,,
☆,ICE抹茶ラテ,,Lunchカレー,内税,600,0.6,600,0.6,1,1.2,0,0.0,10812,,
☆,生ビール,,Lunchカレー,内税,600,0.6,600,0.6,1,1.2,0,0.0,10835,,
☆,白ワイン,,Lunchカレー,内税,600,0.6,600,0.6,1,1.2,0,0.0,10835,,
☆,Iチャイ,,Lunchカレー,内税,550,0.6,550,0.6,1,1.2,0,0.0,10811,,
☆,抹茶ラテ,,Lunchカレー,内税,550,0.6,550,0.6,1,1.2,0,0.0,10811,,
☆,HAC,,Lunchカレー,内税,500,0.5,500,0.5,1,1.2,0,0.0,10810,,
☆,ICEラテ,,Lunchカレー,内税,500,0.5,500,0.5,1,1.2,0,0.0,10810,,
☆,IST,,Lunchカレー,内税,500,0.5,500,0.5,1,1.2,0,0.0,10811,,
☆,レモネードソーダ,,Lunchカレー,内税,500,0.5,500,0.5,1,1.2,0,0.0,10812,,
