商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネードシナモントースト,,,Lunchレモネードシナモントースト,内税,8000,58.8,8000,58.8,10,50.0,0,0.0,10749,,
☆,HOT ラテ,,Lunchレモネードシナモントースト,内税,1650,12.1,1650,12.1,3,15.0,0,0.0,10800,,
☆,BC,,Lunchレモネードシナモントースト,内税,600,4.4,600,4.4,1,5.0,0,0.0,10800,,
☆,HOTチャイ,,Lunchレモネードシナモントースト,内税,600,4.4,600,4.4,1,5.0,0,0.0,10801,,
☆,ICEロイヤル,,Lunchレモネードシナモントースト,内税,600,4.4,600,4.4,1,5.0,0,0.0,10801,,
☆,O,　ホイップあり,Lunchレモネードシナモントースト,内税,550,4.0,550,4.0,1,5.0,0,0.0,10800,,
☆,カプチーノ,　シナモンあり,Lunchレモネードシナモントースト,内税,550,4.0,550,4.0,1,5.0,0,0.0,10800,,
☆,カプチーノ,　シナモン無し,Lunchレモネードシナモントースト,内税,550,4.0,550,4.0,1,5.0,0,0.0,10800,,
☆,ミルク,,Lunchレモネードシナモントースト,内税,500,3.7,500,3.7,1,5.0,0,0.0,10799,,
