商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
IET,,,紅茶　抹茶,内税,38330,19.7,38330,19.7,61,20.5,0,0.0,10036,,
IGTO,,,紅茶　抹茶,内税,23070,11.9,23070,11.9,34,11.4,0,0.0,10046,,
I抹ラテ,,,紅茶　抹茶,内税,21300,11.0,21300,11.0,30,10.1,0,0.0,10048,,
Iチャイ,,,紅茶　抹茶,内税,17750,9.1,17750,9.1,25,8.4,0,0.0,10042,,
チャイ,,,紅茶　抹茶,内税,17480,9.0,17480,9.0,26,8.8,0,0.0,10041,,
抹ラテ,,,紅茶　抹茶,内税,13600,7.0,13600,7.0,20,6.7,0,0.0,10047,,
ET,,,紅茶　抹茶,内税,12760,6.6,12760,6.6,22,7.4,0,0.0,10035,,
IST,,,紅茶　抹茶,内税,9450,4.9,9450,4.9,15,5.1,0,0.0,10038,,
IGT,,,紅茶　抹茶,内税,9450,4.9,9450,4.9,15,5.1,0,0.0,10045,,
Iゆず,,,紅茶　抹茶,内税,8770,4.5,8770,4.5,14,4.7,0,0.0,10040,,
ゆず,,,紅茶　抹茶,内税,8120,4.2,8120,4.2,14,4.7,0,0.0,10039,,
ST,,,紅茶　抹茶,内税,8070,4.2,8070,4.2,14,4.7,0,0.0,10037,,
抹茶(お菓子付き),,,紅茶　抹茶,内税,5950,3.1,5950,3.1,7,2.4,0,0.0,10049,,
