商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
IC,,,コーヒー,内税,92480,41.8,92480,41.8,136,42.2,0,0.0,10001,,
BC,,,コーヒー,内税,48310,21.8,48310,21.8,77,23.9,0,0.0,10000,,
マンデ,,,コーヒー,内税,23360,10.6,23360,10.6,32,9.9,0,0.0,10002,,
Iダーク,,,コーヒー,内税,10640,4.8,10640,4.8,14,4.3,0,0.0,10009,,
Iモカ,,,コーヒー,内税,9360,4.2,9360,4.2,12,3.7,0,0.0,10005,,
ダーク,,,コーヒー,内税,7810,3.5,7810,3.5,11,3.4,0,0.0,10008,,
モカ,,,コーヒー,内税,7300,3.3,7300,3.3,10,3.1,0,0.0,10004,,
Iブラジル,,,コーヒー,内税,6240,2.8,6240,2.8,8,2.5,0,0.0,10007,,
デカフェ,,,コーヒー,内税,6120,2.8,6120,2.8,9,2.8,0,0.0,10010,,
Iデカフェ,,,コーヒー,内税,5110,2.3,5110,2.3,7,2.2,0,0.0,10011,,
Iマンデ,,,コーヒー,内税,4680,2.1,4680,2.1,6,1.9,0,0.0,10003,,
