商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネソーダ,,,ソフトドリンク,内税,48960,40.5,48960,40.5,72,39.1,0,0.0,10215,,
バナJ,,,ソフトドリンク,内税,21080,17.4,21080,17.4,31,16.8,0,0.0,10057,,
Iレモネード,,,ソフトドリンク,内税,18430,15.2,18430,15.2,28,15.2,0,0.0,10214,,
ESPトニック,,,ソフトドリンク,内税,9520,7.9,9520,7.9,14,7.6,0,0.0,10216,,
Iココア,,,ソフトドリンク,内税,8160,6.7,8160,6.7,12,6.5,0,0.0,10051,,
GA,,,ソフトドリンク,内税,4500,3.7,4500,3.7,9,4.9,0,0.0,10056,,
レモネード,,,ソフトドリンク,内税,4410,3.6,4410,3.6,7,3.8,0,0.0,10213,,
りんごJ,,,ソフトドリンク,内税,2500,2.1,2500,2.1,5,2.7,0,0.0,10055,,
ココア,,,ソフトドリンク,内税,1890,1.6,1890,1.6,3,1.6,0,0.0,10050,,
Iミルク,,,ソフトドリンク,内税,1060,0.9,1060,0.9,2,1.1,0,0.0,10053,,
ミルク,,,ソフトドリンク,内税,500,0.4,500,0.4,1,0.5,0,0.0,10052,,
