商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
チャイ,,,紅茶　抹茶,内税,50320,16.4,50320,16.4,74,16.1,0,0.0,10041,,
抹ラテ,,,紅茶　抹茶,内税,38760,12.7,38760,12.7,57,12.4,0,0.0,10047,,
RMT,,,紅茶　抹茶,内税,24480,8.0,24480,8.0,36,7.8,0,0.0,10043,,
ET,ET,,紅茶　抹茶,内税,20400,6.7,20400,6.7,34,7.4,0,0.0,10035,,
IGTO,,,紅茶　抹茶,内税,14960,4.9,14960,4.9,22,4.8,0,0.0,10046,,
Iチャイ,,,紅茶　抹茶,内税,14910,4.9,14910,4.9,21,4.6,0,0.0,10042,,
ゆず,,,紅茶　抹茶,内税,14400,4.7,14400,4.7,24,5.2,0,0.0,10039,,
IRMT,,,紅茶　抹茶,内税,12780,4.2,12780,4.2,18,3.9,0,0.0,10044,,
抹ラテ,HOT,,紅茶　抹茶,内税,11560,3.8,11560,3.8,17,3.7,0,0.0,10047,,
I抹ラテ,,,紅茶　抹茶,内税,11360,3.7,11360,3.7,16,3.5,0,0.0,10048,,
IET,ストレート,,紅茶　抹茶,内税,11050,3.6,11050,3.6,17,3.7,0,0.0,10036,,
チャイ,HOT,,紅茶　抹茶,内税,10880,3.6,10880,3.6,16,3.5,0,0.0,10041,,
ET,EMT,,紅茶　抹茶,内税,9000,2.9,9000,2.9,15,3.3,0,0.0,10035,,
Iゆず,,,紅茶　抹茶,内税,7800,2.5,7800,2.5,12,2.6,0,0.0,10040,,
RMT,HOT,,紅茶　抹茶,内税,7480,2.4,7480,2.4,11,2.4,0,0.0,10043,,
ST,ST,,紅茶　抹茶,内税,6600,2.2,6600,2.2,11,2.4,0,0.0,10037,,
ET,ELT,,紅茶　抹茶,内税,6000,2.0,6000,2.0,10,2.2,0,0.0,10035,,
抹茶(お菓子付き),,,紅茶　抹茶,内税,5950,1.9,5950,1.9,7,1.5,0,0.0,10049,,
ゆず,HOT,,紅茶　抹茶,内税,5400,1.8,5400,1.8,9,2.0,0,0.0,10039,,
IET,ミルク,,紅茶　抹茶,内税,4550,1.5,4550,1.5,7,1.5,0,0.0,10036,,
IST,ストレート,,紅茶　抹茶,内税,4550,1.5,4550,1.5,7,1.5,0,0.0,10038,,
IGT,,,紅茶　抹茶,内税,3780,1.2,3780,1.2,6,1.3,0,0.0,10045,,
ST,MT,,紅茶　抹茶,内税,2400,0.8,2400,0.8,4,0.9,0,0.0,10037,,
チャイ,ICE,,紅茶　抹茶,内税,1420,0.5,1420,0.5,2,0.4,0,0.0,10041,,
抹ラテ,ICE,,紅茶　抹茶,内税,1420,0.5,1420,0.5,2,0.4,0,0.0,10047,,
IET,レモン,,紅茶　抹茶,内税,1300,0.4,1300,0.4,2,0.4,0,0.0,10036,,
ST,LT,,紅茶　抹茶,内税,1200,0.4,1200,0.4,2,0.4,0,0.0,10037,,
RMT,ICE,,紅茶　抹茶,内税,710,0.2,710,0.2,1,0.2,0,0.0,10043,,
IST,ミルク,,紅茶　抹茶,内税,650,0.2,650,0.2,1,0.2,0,0.0,10038,,
