商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネソーダ,,,ソフトドリンク,内税,42160,30.7,42160,30.7,62,28.4,0,0.0,10215,,
バナJ,,,ソフトドリンク,内税,23120,16.9,23120,16.9,34,15.6,0,0.0,10057,,
りんごJ,,,ソフトドリンク,内税,11450,8.3,11450,8.3,23,10.6,0,0.0,10055,,
Iレモネード,,,ソフトドリンク,内税,11220,8.2,11220,8.2,17,7.8,0,0.0,10214,,
ココア,ホイップ有り,HOT,ソフトドリンク,内税,8190,6.0,8190,6.0,13,6.0,0,0.0,10050,,
ESPトニック,,,ソフトドリンク,内税,7480,5.5,7480,5.5,11,5.0,0,0.0,10216,,
レモネード,,,ソフトドリンク,内税,6930,5.1,6930,5.1,11,5.0,0,0.0,10213,,
レモネード,HOT,,ソフトドリンク,内税,5040,3.7,5040,3.7,8,3.7,0,0.0,10213,,
コーラ,,,ソフトドリンク,内税,4950,3.6,4950,3.6,10,4.6,0,0.0,10643,,
GA,,,ソフトドリンク,内税,4500,3.3,4500,3.3,9,4.1,0,0.0,10056,,
Iココア,,,ソフトドリンク,内税,4080,3.0,4080,3.0,6,2.8,0,0.0,10051,,
ココア,ホイップ無し,HOT,ソフトドリンク,内税,3150,2.3,3150,2.3,5,2.3,0,0.0,10050,,
ミルク,HOT,,ソフトドリンク,内税,3000,2.2,3000,2.2,6,2.8,0,0.0,10052,,
イチゴJ,,,ソフトドリンク,内税,680,0.5,680,0.5,1,0.5,0,0.0,10199,,
レモネード,ICE,,ソフトドリンク,内税,660,0.5,660,0.5,1,0.5,0,0.0,10213,,
ミルク,ICE,,ソフトドリンク,内税,530,0.4,530,0.4,1,0.5,0,0.0,10052,,
