商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
ラテ,,,エスプレッソ,内税,69300,20.3,69300,20.3,105,20.1,0,0.0,10015,,
カプチ,シナモン有り,,エスプレッソ,内税,40800,12.0,40800,12.0,60,11.5,0,0.0,10014,,
Iラテ,,,エスプレッソ,内税,37950,11.1,37950,11.1,55,10.5,0,0.0,10016,,
ラテ,HOT,,エスプレッソ,内税,33660,9.9,33660,9.9,51,9.8,0,0.0,10015,,
O,ホイップ有り,HOT,エスプレッソ,内税,21420,6.3,21420,6.3,34,6.5,0,0.0,10021,,
O,ホイップ無し,HOT,エスプレッソ,内税,18270,5.4,18270,5.4,29,5.5,0,0.0,10021,,
IO,,,エスプレッソ,内税,17160,5.0,17160,5.0,26,5.0,0,0.0,10022,,
キャララテ,,,エスプレッソ,内税,15640,4.6,15640,4.6,23,4.4,0,0.0,10019,,
AC ,,,エスプレッソ,内税,15000,4.4,15000,4.4,25,4.8,0,0.0,10013,,
カフェモカ,,,エスプレッソ,内税,12920,3.8,12920,3.8,19,3.6,0,0.0,10017,,
IAC ,,,エスプレッソ,内税,7800,2.3,7800,2.3,12,2.3,0,0.0,10345,,
AC ,HOT,,エスプレッソ,内税,7200,2.1,7200,2.1,12,2.3,0,0.0,10013,,
Iキャララテ,,,エスプレッソ,内税,6390,1.9,6390,1.9,9,1.7,0,0.0,10020,,
カフェモカ,HOT,,エスプレッソ,内税,5440,1.6,5440,1.6,8,1.5,0,0.0,10017,,
キャララテ,HOT,,エスプレッソ,内税,5440,1.6,5440,1.6,8,1.5,0,0.0,10019,,
カプチ,シナモン無し,,エスプレッソ,内税,4760,1.4,4760,1.4,7,1.3,0,0.0,10014,,
ESP W,,,エスプレッソ,内税,3780,1.1,3780,1.1,6,1.1,0,0.0,10202,,
Iカフェモカ,,,エスプレッソ,内税,3550,1.0,3550,1.0,5,1.0,0,0.0,10018,,
ESP ,,,エスプレッソ,内税,3010,0.9,3010,0.9,7,1.3,0,0.0,10012,,
デカフェキャララテ,,,エスプレッソ,内税,2160,0.6,2160,0.6,3,0.6,0,0.0,10496,,
キャララテ,ICE,,エスプレッソ,内税,2130,0.6,2130,0.6,3,0.6,0,0.0,10019,,
デカフェラテ,,,エスプレッソ,内税,2100,0.6,2100,0.6,3,0.6,0,0.0,10276,,
lデカフェラテ,,,エスプレッソ,内税,1460,0.4,1460,0.4,2,0.4,0,0.0,10277,,
ラテ,ICE,,エスプレッソ,内税,1380,0.4,1380,0.4,2,0.4,0,0.0,10015,,
AC Ｗ,,,エスプレッソ,内税,800,0.2,800,0.2,1,0.2,0,0.0,10634,,
カフェモカ,ICE,,エスプレッソ,内税,710,0.2,710,0.2,1,0.2,0,0.0,10017,,
デカフェラテ,HOT,,エスプレッソ,内税,700,0.2,700,0.2,1,0.2,0,0.0,10276,,
豆乳,,,エスプレッソ,内税,480,0.1,480,0.1,6,1.1,0,0.0,10498,,
