商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
Iラテ,,,エスプレッソ,内税,71660,33.3,71660,33.3,104,30.1,0,0.0,10016,,
IAC ,,,エスプレッソ,内税,26680,12.4,26680,12.4,46,13.3,0,0.0,10345,,
ラテ,,,エスプレッソ,内税,26400,12.3,26400,12.3,40,11.6,0,0.0,10015,,
IO,,,エスプレッソ,内税,25740,12.0,25740,12.0,39,11.3,0,0.0,10022,,
AC ,,,エスプレッソ,内税,14310,6.6,14310,6.6,27,7.8,0,0.0,10013,,
Iキャララテ,,,エスプレッソ,内税,10650,4.9,10650,4.9,15,4.3,0,0.0,10020,,
O,,,エスプレッソ,内税,9450,4.4,9450,4.4,15,4.3,0,0.0,10021,,
Iカフェモカ,,,エスプレッソ,内税,7810,3.6,7810,3.6,11,3.2,0,0.0,10018,,
キャララテ,,,エスプレッソ,内税,6120,2.8,6120,2.8,9,2.6,0,0.0,10019,,
lデカフェラテ,,,エスプレッソ,内税,5110,2.4,5110,2.4,7,2.0,0,0.0,10277,,
カプチ,,,エスプレッソ,内税,4760,2.2,4760,2.2,7,2.0,0,0.0,10014,,
カフェモカ,,,エスプレッソ,内税,2040,0.9,2040,0.9,3,0.9,0,0.0,10017,,
ESP W,,,エスプレッソ,内税,1890,0.9,1890,0.9,3,0.9,0,0.0,10202,,
豆乳,,,エスプレッソ,内税,1360,0.6,1360,0.6,17,4.9,0,0.0,10498,,
ESP ,,,エスプレッソ,内税,1290,0.6,1290,0.6,3,0.9,0,0.0,10012,,
