商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
IET,,,紅茶　抹茶,内税,30240,16.0,30240,16.0,48,16.8,0,0.0,10036,,
Iチャイ,,,紅茶　抹茶,内税,24850,13.2,24850,13.2,35,12.2,0,0.0,10042,,
チャイ,,,紅茶　抹茶,内税,23070,12.2,23070,12.2,34,11.9,0,0.0,10041,,
I抹ラテ,,,紅茶　抹茶,内税,21960,11.7,21960,11.7,31,10.8,0,0.0,10048,,
ET,,,紅茶　抹茶,内税,17980,9.5,17980,9.5,31,10.8,0,0.0,10035,,
IGTO,,,紅茶　抹茶,内税,16270,8.6,16270,8.6,24,8.4,0,0.0,10046,,
Iゆず,,,紅茶　抹茶,内税,15120,8.0,15120,8.0,24,8.4,0,0.0,10040,,
抹ラテ,,,紅茶　抹茶,内税,12240,6.5,12240,6.5,18,6.3,0,0.0,10047,,
抹茶(お菓子付き),,,紅茶　抹茶,内税,6800,3.6,6800,3.6,8,2.8,0,0.0,10049,,
ゆず,,,紅茶　抹茶,内税,5800,3.1,5800,3.1,10,3.5,0,0.0,10039,,
IST,,,紅茶　抹茶,内税,5670,3.0,5670,3.0,9,3.1,0,0.0,10038,,
ST,,,紅茶　抹茶,内税,5220,2.8,5220,2.8,9,3.1,0,0.0,10037,,
IGT,,,紅茶　抹茶,内税,2520,1.3,2520,1.3,4,1.4,0,0.0,10045,,
RMT,,,紅茶　抹茶,内税,680,0.4,680,0.4,1,0.3,0,0.0,10043,,
