商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
IC,,,コーヒー,内税,95730,42.8,95730,42.8,141,43.3,0,0.0,10001,,
BC,,,コーヒー,内税,48460,21.6,48460,21.6,77,23.6,0,0.0,10000,,
マンデ,,,コーヒー,内税,27640,12.3,27640,12.3,38,11.7,0,0.0,10002,,
Iモカ,,,コーヒー,内税,7800,3.5,7800,3.5,10,3.1,0,0.0,10005,,
Iマンデ,,,コーヒー,内税,7020,3.1,7020,3.1,9,2.8,0,0.0,10003,,
Iダーク,,,コーヒー,内税,6840,3.1,6840,3.1,9,2.8,0,0.0,10009,,
ダーク,,,コーヒー,内税,6390,2.9,6390,2.9,9,2.8,0,0.0,10008,,
Iブラジル,,,コーヒー,内税,6240,2.8,6240,2.8,8,2.5,0,0.0,10007,,
Iデカフェ,,,コーヒー,内税,5840,2.6,5840,2.6,8,2.5,0,0.0,10011,,
モカ,,,コーヒー,内税,5110,2.3,5110,2.3,7,2.1,0,0.0,10004,,
デカフェ,,,コーヒー,内税,4080,1.8,4080,1.8,6,1.8,0,0.0,10010,,
ブラジル,,,コーヒー,内税,2190,1.0,2190,1.0,3,0.9,0,0.0,10006,,
drink,,,コーヒー,内税,550,0.2,550,0.2,1,0.3,0,0.0,10198,,
