商品名,販売商品数
ラテ,105
カプチ,60
Iラテ,55
ラテ,51
O,34
O,29
IO,26
キャラメルラテ,23
AC,25
カフェモカ,19
IAC,12
AC,12
キャラメルラテ,9
カフェモカ,8
キャラメルラテ,8
カプチ,7
ESP_W,6
Iカフェモカ,5
ESP,7
デカフェキャララテ,3
キャラメルラテ,3
デカフェラテ,3
Iデカフェラテ,2
Iラテ,2
AC_W,1
Iカフェモカ,1
デカフェラテ,1
豆乳,6
チャイ,74
抹茶ラテ,57
RMT,36
ET_ストレート,34
GTO,22
Iチャイ,21
ゆず,24
IRMT,18
抹茶ラテ,17
I抹茶ラテ,16
IET_ストレート,17
チャイ,16
ET_ミルク,15
Iゆず,12
RMT,11
ST_ストレート,11
ET_レモン,10
抹茶(お菓子付き),7
ゆず,9
IET_ミルク,7
IST_ストレート,7
GT,6
ST_ミルク,4
Iチャイ,2
I抹茶ラテ,2
IET_レモン,2
ST_レモン,2
IRMT,1
IST_ミルク,1
レモソーダ,62
バナJ,34
りんごJ,23
Iレモネード,17
ココア,13
ESPトニック,11
レモネード,11
レモネード,8
コーラ,10
GA,9
Iココア,6
ココア,5
ミルク,6
イチゴJ,1
Iレモネード,1
Iミルク,1
BC,199
IC,83
マンデ,38
BC,42
ダーク,26
ブラジル,17
マンデ,14
モカ,12
モカ,11
デカフェ,11
Iモカ,6
ダーク,6
デカフェ,5
Iマンデ,4
Iブラジル,4
IC,4
Iダーク,3
Iデカフェ,2
Iマンデ,1
ブラジル,1
drink,1
IC,1
