商品名,販売商品数
IAC,5
AC,4
Iチャイ,3
レモソーダ,3
BC,2
IC,2
Iキャラメルラテ,1
ラテ,1
Iラテ,1
カプチ,1
バナJ,1
Iレモネード,1
ET_ストレート,1
ST_ストレート,1
GA,1
ラテ,2
カフェモカ,1
Iカフェモカ,1
I抹茶ラテ,1
BC,1
IC,1
IO,1
Iラテ,1
バナJ,1
Iレモネード,1
IAC,1
ST_ストレート,1
IST_ストレート,1
BC,7
IC,3
レモソーダ,3
チャイ,2
生ビール,2
ラテ,2
バナJ,2
キャラメルラテ,1
カフェモカ,1
O,1
Iラテ,1
カプチ,1
IAC,1
ET_ストレート,1
IET_ストレート,1
コーラ,1
GA,1
生ビール,2
BC,2
IAC,3
Iキャラメルラテ,1
Iチャイ,1
IC,1
IO,1
ラテ,1
バナJ,1
Iレモネード,1
レモソーダ,1
AC,1
ET_ストレート,1
コーラ,1
AC,5
BC,3
IET_ストレート,3
ラテ,2
IC,2
I抹茶ラテ,1
バナJ,1
Iラテ,1
BC,1
IC,1
BC,2
バナJ,1
IC,1
りんごJ,1
チャイ,1
ラテ,1
BC,1
AC,1
IC,25
BC,24
レモソーダ,19
生ビール,16
Iラテ,17
ラテ,14
バナJ,11
Iレモネード,10
GA,11
カプチ,9
I抹茶ラテ,8
AC,8
IO,6
IAC,6
白ワイン,5
りんごJ,5
ET_ストレート,4
IET_ストレート,4
Iゆず,4
Iキャラメルラテ,3
チャイ,3
抹茶ラテ,3
IST_ストレート,3
カフェモカ,2
Iチャイ,2
GT,2
O,2
O,2
レモネード,2
ST_ストレート,2
ゆず,2
コーラ,2
キャラメルラテ,1
GTO,1
赤ワイン,1
カプチ,1
ESPトニック,1
