商品名,販売商品数
OJ,3
BC,2
Iラテ,2
キャラメルラテ,2
Iレモネード,2
チャイ,1
GTO,1
チャイ,1
Iチャイ,1
カプチ,1
レモソーダ,1
ゆず,1
ET_ストレート,1
バナJ,1
レモソーダ,1
バナJ,4
生ビール,2
IC,1
抹茶ラテ,1
キャラメルラテ,1
O,1
O,1
ラテ,1
Iラテ,1
カフェモカ,1
OJ,1
GA,1
Iレモネード,1
Iゆず,1
IET_ストレート,1
ST_ストレート,1
ET_ストレート,1
GA,1
IO,3
ラテ,3
コーラ,3
BC,2
BC,2
チャイ,2
レモソーダ,2
IET_ストレート,2
Iチャイ,1
Iチャイ,1
RMT,1
IRMT,1
I抹茶ラテ,1
生ビール,1
ラテ,1
Iラテ,1
Iレモネード,1
ゆず,1
IAC,1
ET_ストレート,1
バナJ,4
BC,3
BC,2
抹茶ラテ,2
バナJ,2
IC,1
GTO,1
チャイ,1
生ビール,1
O,1
IO,1
Iラテ,1
カプチ,1
カプチ,1
コーラ,1
ゆず,1
IET_ストレート,1
Iレモネード,1
BC,4
IC,3
ラテ,3
GA,2
レモソーダ,2
ET_ストレート,2
IET_ストレート,2
BC,1
チャイ,1
キャラメルラテ,1
バナJ,1
Iレモネード,1
AC,1
GT,3
Iラテ,3
生ビール,2
BC,1
IC,1
O,1
カプチ,1
AC,1
キャラメルラテ,3
バナJ,2
BC,1
BC,1
IC,1
抹茶ラテ,1
O,1
ラテ,1
Iラテ,1
りんごJ,1
IAC,1
ST_ストレート,1
IST_ストレート,1
ラテ,3
BC,1
チャイ,1
IRMT,1
O,1
カプチ,1
カプチ,1
ミルク,1
IC,1
ラテ,1
バナJ,3
RMT,2
IAC,2
ラテ,2
IET_ストレート,2
BC,1
チャイ,1
GTO,1
I抹茶ラテ,1
生ビール,1
白ワイン,1
Iチャイ,1
抹茶ラテ,1
AC,1
Iラテ,1
IST_ストレート,1
レモソーダ,1
