商品名,販売商品数
ラテ,99
Iラテ,65
カプチ,39
IAC,36
O,32
Iラテ,22
AC,25
カフェモカ,22
キャラメルラテ,18
ラテ,16
O,16
IO,14
キャラメルラテ,11
AC,10
IO,9
カプチ,8
ESP,9
デカフェラテ,5
キャラメルラテ,5
AC_W,4
Iデカフェラテ,4
Iカフェモカ,4
Iカフェモカ,3
キャラメルラテ,3
ESP_W,3
IAC_W,2
カフェモカ,2
AC_W,1
デカフェキャララテ,1
デカフェラテ,1
IAC,1
ESP_W,1
豆乳,7
ESP,1
チャイ,73
抹茶ラテ,62
GTO,40
Iチャイ,25
ET_ストレート,28
チャイ,21
ST_ストレート,22
IET_ストレート,20
GT,15
抹茶(お菓子付き),11
ゆず,14
I抹茶ラテ,11
ET_ミルク,10
ST_ミルク,10
抹茶ラテ,8
Iゆず,8
I抹茶ラテ,7
IET_ミルク,7
IST_ストレート,5
ET_レモン,5
Iチャイ,4
ST_レモン,4
ゆず,4
IET_ストレート,3
Iゆず,3
IET_レモン,2
IST_ミルク,2
IST_レモン,2
IST_ストレート,1
IST_ミルク,1
レモソーダ,62
バナJ,44
Iレモネード,24
ココア,14
レモネード,14
GA,15
りんごJ,11
ESPトニック,8
Iココア,7
Iレモネード,7
ココア,6
レモネード,4
Iミルク,3
Iココア,2
ミルク,2
コーラ,2
BC,210
IC,110
マンデ,43
ダーク,19
BC,19
モカ,16
ブラジル,15
デカフェ,11
マンデ,8
Iダーク,7
IC,6
Iデカフェ,5
Iモカ,4
Iマンデ,3
Iモカ,3
デカフェ,3
Iブラジル,2
Iマンデ,1
Iデカフェ,1
モカ,1
ブラジル,1
ダーク,1
