商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
HOT アールグレイ,,,パフェセットドリンク,内税,1500,60.0,1500,60.0,3,60.0,0,0.0,10722,,
HOT アメリカーノ,,,パフェセットドリンク,内税,1000,40.0,1000,40.0,2,40.0,0,0.0,10724,,
