商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆レモネソーダ,,,ランチセット　ソフトドリンク,内税,3600,45.0,3600,45.0,6,42.9,0,0.0,10457,,
☆バナナJ,,氷あり,ランチセット　ソフトドリンク,内税,1200,15.0,1200,15.0,2,14.3,0,0.0,10454,,
☆りんごJ,,氷あり,ランチセット　ソフトドリンク,内税,1000,12.5,1000,12.5,2,14.3,0,0.0,10453,,
☆レモネード,,,ランチセット　ソフトドリンク,内税,600,7.5,600,7.5,1,7.1,0,0.0,10455,,
☆Iレモネード,,,ランチセット　ソフトドリンク,内税,600,7.5,600,7.5,1,7.1,0,0.0,10456,,
☆GA,,,ランチセット　ソフトドリンク,内税,500,6.3,500,6.3,1,7.1,0,0.0,10452,,
☆りんごJ,氷少なめ,,ランチセット　ソフトドリンク,内税,500,6.3,500,6.3,1,7.1,0,0.0,10453,,
