商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
チャイ,HOT,,紅茶　抹茶,内税,46200,18.3,46200,18.3,66,17.8,0,0.0,10041,,
抹ラテ,HOT,,紅茶　抹茶,内税,37800,14.9,37800,14.9,54,14.6,0,0.0,10047,,
チャイ,ICE,,紅茶　抹茶,内税,23800,9.4,23800,9.4,35,9.4,1,33.3,10041,,
IGTO,,,紅茶　抹茶,内税,21000,8.3,21000,8.3,30,8.1,0,0.0,10046,,
ET,ICE ,,紅茶　抹茶,内税,15600,6.2,15600,6.2,26,7.0,2,66.7,10035,,
抹ラテ,ICE,,紅茶　抹茶,内税,14000,5.5,14000,5.5,20,5.4,0,0.0,10047,,
ET,ET,,紅茶　抹茶,内税,13000,5.1,13000,5.1,20,5.4,0,0.0,10035,,
ゆず,HOT,,紅茶　抹茶,内税,13000,5.1,13000,5.1,20,5.4,0,0.0,10039,,
Iゆず紅茶,,,紅茶　抹茶,内税,9100,3.6,9100,3.6,13,3.5,0,0.0,10909,,
IGT,,,紅茶　抹茶,内税,7800,3.1,7800,3.1,12,3.2,0,0.0,10045,,
抹茶(お菓子付き),,,紅茶　抹茶,内税,6650,2.6,6650,2.6,7,1.9,0,0.0,10049,,
ST,ST,,紅茶　抹茶,内税,5850,2.3,5850,2.3,9,2.4,0,0.0,10037,,
Iチャイ,,,紅茶　抹茶,内税,5600,2.2,5600,2.2,8,2.2,0,0.0,10042,,
ET,EMT,,紅茶　抹茶,内税,4550,1.8,4550,1.8,7,1.9,0,0.0,10035,,
ゆず,ICE,,紅茶　抹茶,内税,4550,1.8,4550,1.8,7,1.9,0,0.0,10039,,
I抹ラテ,,,紅茶　抹茶,内税,4200,1.7,4200,1.7,6,1.6,0,0.0,10048,,
ET,ELT,,紅茶　抹茶,内税,3900,1.5,3900,1.5,6,1.6,0,0.0,10035,,
ET,ICEミルク,,紅茶　抹茶,内税,3900,1.5,3900,1.5,6,1.6,0,0.0,10035,,
ST,IST,,紅茶　抹茶,内税,3900,1.5,3900,1.5,6,1.6,0,0.0,10037,,
ET,ICE レモン,,紅茶　抹茶,内税,3250,1.3,3250,1.3,5,1.3,0,0.0,10035,,
RMT,HOT,,紅茶　抹茶,内税,1400,0.6,1400,0.6,2,0.5,0,0.0,10043,,
ST,MT,,紅茶　抹茶,内税,1300,0.5,1300,0.5,2,0.5,0,0.0,10037,,
ST,LT,,紅茶　抹茶,内税,650,0.3,650,0.3,1,0.3,0,0.0,10037,,
ST,ILT,,紅茶　抹茶,内税,650,0.3,650,0.3,1,0.3,0,0.0,10037,,
ST,IMT,,紅茶　抹茶,内税,650,0.3,650,0.3,1,0.3,0,0.0,10037,,
Iゆず,,,紅茶　抹茶,内税,650,0.3,650,0.3,1,0.3,0,0.0,10040,,
