商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネソーダ,,,ソフトドリンク,内税,29400,24.1,29400,24.1,42,22.1,0,0.0,10215,,
バナJ,,,ソフトドリンク,内税,19500,16.0,19500,16.0,30,15.8,0,0.0,10057,,
ゆずソーダ,,,ソフトドリンク,内税,16900,13.9,16900,13.9,26,13.7,0,0.0,10910,,
りんごJ,,,ソフトドリンク,内税,11000,9.0,11000,9.0,20,10.5,0,0.0,10055,,
レモネード,ICE,,ソフトドリンク,内税,9750,8.0,9750,8.0,15,7.9,0,0.0,10213,,
レモネード,HOT,,ソフトドリンク,内税,7800,6.4,7800,6.4,12,6.3,0,0.0,10213,,
ココア,ホイップ有り,HOT,ソフトドリンク,内税,5850,4.8,5850,4.8,9,4.7,0,0.0,10050,,
ココア,ICE,,ソフトドリンク,内税,5850,4.8,5850,4.8,9,4.7,0,0.0,10050,,
ESPトニック,,,ソフトドリンク,内税,5600,4.6,5600,4.6,8,4.2,0,0.0,10216,,
コーラ,,,ソフトドリンク,内税,4950,4.1,4950,4.1,9,4.7,0,0.0,10643,,
ミルク,ICE,,ソフトドリンク,内税,2000,1.6,2000,1.6,4,2.1,0,0.0,10052,,
GA,,,ソフトドリンク,内税,1650,1.4,1650,1.4,3,1.6,0,0.0,10056,,
ミルク,HOT,,ソフトドリンク,内税,1000,0.8,1000,0.8,2,1.1,0,0.0,10052,,
Iレモネード,,,ソフトドリンク,内税,650,0.5,650,0.5,1,0.5,0,0.0,10214,,
