商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
ラテ,HOT,,エスプレッソ,内税,66300,21.8,66300,21.8,102,21.7,0,0.0,10015,,
ラテ,ICE,,エスプレッソ,内税,52650,17.3,52650,17.3,81,17.3,0,0.0,10015,,
IAC ,シングル,,エスプレッソ,内税,25800,8.5,25800,8.5,43,9.2,0,0.0,10345,,
O,ホイップ有り,HOT,エスプレッソ,内税,22100,7.3,22100,7.3,34,7.2,0,0.0,10021,,
AC ,シングル,,エスプレッソ,内税,15600,5.1,15600,5.1,26,5.5,0,0.0,10013,,
Iラテ,,,エスプレッソ,内税,14950,4.9,14950,4.9,23,4.9,0,0.0,10016,,
カプチ,シナモン有り,,エスプレッソ,内税,14700,4.8,14700,4.8,21,4.5,0,0.0,10014,,
キャララテ,HOT,,エスプレッソ,内税,14000,4.6,14000,4.6,20,4.3,0,0.0,10019,,
O,ICE,,エスプレッソ,内税,13650,4.5,13650,4.5,21,4.5,0,0.0,10021,,
キャララテ,ICE,,エスプレッソ,内税,10500,3.5,10500,3.5,15,3.2,0,0.0,10019,,
O,ホイップ無し,HOT,エスプレッソ,内税,10400,3.4,10400,3.4,16,3.4,0,0.0,10021,,
カフェモカ,ICE,,エスプレッソ,内税,7000,2.3,7000,2.3,10,2.1,0,0.0,10017,,
カフェモカ,HOT,,エスプレッソ,内税,5600,1.8,5600,1.8,8,1.7,0,0.0,10017,,
デカフェラテ,HOT,,エスプレッソ,内税,5600,1.8,5600,1.8,8,1.7,0,0.0,10276,,
ESP ,シングル,,エスプレッソ,内税,4500,1.5,4500,1.5,9,1.9,0,0.0,10012,,
IO,,,エスプレッソ,内税,3900,1.3,3900,1.3,6,1.3,0,0.0,10022,,
カプチ,シナモン無し,,エスプレッソ,内税,2800,0.9,2800,0.9,4,0.9,0,0.0,10014,,
デカフェラテ,ICE,,エスプレッソ,内税,2800,0.9,2800,0.9,4,0.9,0,0.0,10276,,
lデカフェラテ,,,エスプレッソ,内税,2800,0.9,2800,0.9,4,0.9,0,0.0,10277,,
IAC ,ダブル,,エスプレッソ,内税,1600,0.5,1600,0.5,2,0.4,0,0.0,10345,,
デカフェキャララテ,HOT,,エスプレッソ,内税,1500,0.5,1500,0.5,2,0.4,0,0.0,10496,,
デカフェキャララテ,ICE,,エスプレッソ,内税,1500,0.5,1500,0.5,2,0.4,0,0.0,10496,,
Iキャララテ,,,エスプレッソ,内税,1400,0.5,1400,0.5,2,0.4,0,0.0,10020,,
AC ,ダブル,,エスプレッソ,内税,800,0.3,800,0.3,1,0.2,0,0.0,10013,,
デカフェカプチ,シナモン有り,,エスプレッソ,内税,750,0.2,750,0.2,1,0.2,0,0.0,10287,,
デカフェカフェモカ,HOT,,エスプレッソ,内税,750,0.2,750,0.2,1,0.2,0,0.0,10494,,
豆乳,,,エスプレッソ,内税,240,0.1,240,0.1,3,0.6,0,0.0,10498,,
