商品名,販売商品数
Iラテ,38
IO,15
ラテ,12
AC,7
O,5
IAC,5
カプチ,4
キャラメルラテ,3
ESPトニック,2
Iカフェモカ,1
Iデカフェラテ,1
デカフェラテ,1
豆乳,1
IET_ストレート,27
Iゆず,12
Iチャイ,10
IST_ストレート,7
チャイ,5
ET,5
GTO,4
GT,3
I抹茶ラテ,2
ST,2
ゆず,2
レモソーダ,30
バナJ,16
りんごJ,10
GA,9
Iレモネード,7
コーラ,2
ICEミルク,2
レモネード,1
ココア,1
ミルク,1
IC,68
BC,34
ICEモカ,3
ICEダークロースト,3
ICEマンデリン,2
ブラジル,2
デカフェ,2
マンデリン,1
ダークロースト,1
