商品名,販売商品数
AC,85
BC,349
ESP,6
ESP_W,9
ESPトニック,40
ET,14
ET_ストレート,79
GA,77
GT,31
GTO,116
IAC,145
IC,589
ICEダークロースト,11
ICEデカフェ,6
ICEブラジル,3
ICEマンデリン,10
ICEミルク,3
ICEモカ,9
IET_ストレート,232
IO,164
IRMT,3
IST_ストレート,66
Iゆず,102
Iカフェモカ,35
Iココア,32
Iダーク,31
Iチャイ,121
Iデカフェ,22
Iデカフェキャララテ,1
Iデカフェラテ,18
Iブラジル,18
Iマンデ,24
Iミルク,11
Iモカ,35
Iラテ,466
Iレモネード,109
I抹茶ラテ,97
O,65
RMT,2
ST,5
ST_ストレート,31
drink,1
やまももソーダ,12
ゆず,44
りんごJ,58
カフェモカ,13
カプチ,45
キャラメルラテ,81
ココア,10
コーラ,11
ダーク,24
ダークロースト,4
チャイ,121
デカフェ,32
デカフェラテ,6
バナJ,135
ブラジル,14
マンデ,116
マンデリン,2
ミルク,6
モカ,30
ラテ,165
レモソーダ,278
レモネード,19
抹茶(お菓子付き),23
抹茶ラテ,69
豆乳,40
