商品名,販売商品数
Iラテ,37
IO,15
IAC,8
キャラメルラテ,6
ラテ,5
カプチ,3
O,3
AC,3
カフェモカ,2
Iデカフェラテ,1
Iカフェモカ,1
キャラメルラテ,1
ESPトニック,1
豆乳,1
IET_ストレート,26
Iチャイ,10
IST_ストレート,9
チャイ,6
Iゆず,6
GTO,5
GT,3
IRMT,2
ET,2
I抹茶ラテ,1
抹茶ラテ,1
ST,1
レモソーダ,18
バナJ,12
Iレモネード,11
GA,12
コーラ,5
りんごJ,5
やまももソーダ,4
レモネード,3
IC,53
BC,14
ICEダークロースト,6
ICEマンデリン,3
ダークロースト,3
ICEデカフェ,2
ICEモカ,1
ICEブラジル,1
マンデリン,1
モカ,1
デカフェ,1
