商品名,販売商品数
Iラテ,36
IAC,11
IO,7
ラテ,7
O,6
AC,5
カプチ,3
Iカフェモカ,2
キャラメルラテ,2
Iデカフェラテ,1
キャラメルラテ,1
IET_ストレート,18
Iチャイ,15
Iゆず,14
GTO,9
IST_ストレート,9
I抹茶ラテ,7
チャイ,6
ET,7
抹茶ラテ,2
ST,2
IRMT,1
GT,1
レモソーダ,24
バナJ,10
Iレモネード,8
GA,9
りんごJ,5
コーラ,4
Iココア,1
レモネード,1
ICEミルク,1
IC,63
BC,30
ICEマンデリン,5
ICEモカ,5
ICEデカフェ,4
デカフェ,3
ICEブラジル,2
ICEダークロースト,2
モカ,1
ブラジル,1
