商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆Iラテ,,,ランチセット　エスプレッソ,内税,18870,43.4,18870,43.4,37,42.5,0,0.0,10424,,
☆IO,,,ランチセット　エスプレッソ,内税,7650,17.6,7650,17.6,15,17.2,0,0.0,10422,,
☆IAC,,,ランチセット　エスプレッソ,内税,3840,8.8,3840,8.8,8,9.2,0,0.0,10420,,
☆Iキャララテ,,,ランチセット　エスプレッソ,内税,3240,7.5,3240,7.5,6,6.9,0,0.0,10429,,
☆ラテ,,,ランチセット　エスプレッソ,内税,2400,5.5,2400,5.5,5,5.7,0,0.0,10423,,
☆カプチ,,,ランチセット　エスプレッソ,内税,1500,3.5,1500,3.5,3,3.4,0,0.0,10425,,
☆O,,,ランチセット　エスプレッソ,内税,1440,3.3,1440,3.3,3,3.4,0,0.0,10421,,
☆AC,,,ランチセット　エスプレッソ,内税,1290,3.0,1290,3.0,3,3.4,0,0.0,10419,,
☆カフェモカ,,,ランチセット　エスプレッソ,内税,1020,2.3,1020,2.3,2,2.3,0,0.0,10426,,
☆Iデカフェラテ,,,ランチセット　エスプレッソ,内税,550,1.3,550,1.3,1,1.1,0,0.0,10515,,
☆Iカフェモカ,,,ランチセット　エスプレッソ,内税,540,1.2,540,1.2,1,1.1,0,0.0,10427,,
☆キャララテ,,,ランチセット　エスプレッソ,内税,510,1.2,510,1.2,1,1.1,0,0.0,10428,,
☆ESPトニック,,,ランチセット　エスプレッソ,内税,500,1.2,500,1.2,1,1.1,0,0.0,10458,,
☆豆乳変更,,,ランチセット　エスプレッソ,内税,80,0.2,80,0.2,1,1.1,0,0.0,10522,,
