商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆IC,,,ランチセット　コーヒー,内税,30740,63.3,30740,63.3,53,61.6,0,0.0,10329,,
☆BC,,,ランチセット　コーヒー,内税,7420,15.3,7420,15.3,14,16.3,0,0.0,10328,,
☆ICEダークロースト,,,ランチセット　コーヒー,内税,3360,6.9,3360,6.9,6,7.0,0,0.0,10331,,
☆ICEマンデリン,,,ランチセット　コーヒー,内税,1740,3.6,1740,3.6,3,3.5,0,0.0,10335,,
☆ダークロースト,,,ランチセット　コーヒー,内税,1530,3.2,1530,3.2,3,3.5,0,0.0,10330,,
☆ICEデカフェ,,,ランチセット　コーヒー,内税,1060,2.2,1060,2.2,2,2.3,0,0.0,10333,,
☆ICEモカ,,,ランチセット　コーヒー,内税,580,1.2,580,1.2,1,1.2,0,0.0,10337,,
☆ICEブラジル,,,ランチセット　コーヒー,内税,580,1.2,580,1.2,1,1.2,0,0.0,10418,,
☆マンデリン,,,ランチセット　コーヒー,内税,530,1.1,530,1.1,1,1.2,0,0.0,10334,,
☆モカ,,,ランチセット　コーヒー,内税,530,1.1,530,1.1,1,1.2,0,0.0,10336,,
☆デカフェ,,,ランチセット　コーヒー,内税,480,1.0,480,1.0,1,1.2,0,0.0,10332,,
