商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆IET,,,ランチセット　紅茶・抹茶,内税,12480,34.6,12480,34.6,26,36.1,0,0.0,10433,,
☆Iチャイ,,,ランチセット　紅茶・抹茶,内税,5600,15.5,5600,15.5,10,13.9,0,0.0,10439,,
☆IST,,,ランチセット　紅茶・抹茶,内税,4320,12.0,4320,12.0,9,12.5,0,0.0,10435,,
☆チャイ,,,ランチセット　紅茶・抹茶,内税,3060,8.5,3060,8.5,6,8.3,0,0.0,10438,,
☆Iゆず,,,ランチセット　紅茶・抹茶,内税,2880,8.0,2880,8.0,6,8.3,0,0.0,10437,,
☆GTO,,,ランチセット　紅茶・抹茶,内税,2750,7.6,2750,7.6,5,6.9,0,0.0,10443,,
☆GT,,,ランチセット　紅茶・抹茶,内税,1500,4.2,1500,4.2,3,4.2,0,0.0,10442,,
☆IRMT,,,ランチセット　紅茶・抹茶,内税,1120,3.1,1120,3.1,2,2.8,0,0.0,10441,,
☆ET,,,ランチセット　紅茶・抹茶,内税,860,2.4,860,2.4,2,2.8,0,0.0,10432,,
☆I抹ラテ,,,ランチセット　紅茶・抹茶,内税,560,1.6,560,1.6,1,1.4,0,0.0,10445,,
☆抹ラテ,,,ランチセット　紅茶・抹茶,内税,510,1.4,510,1.4,1,1.4,0,0.0,10444,,
☆ST,,,ランチセット　紅茶・抹茶,内税,430,1.2,430,1.2,1,1.4,0,0.0,10434,,
