商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆レモネソーダ,,,ランチセット　ソフトドリンク,内税,9000,28.0,9000,28.0,18,25.7,0,0.0,10457,,
☆バナナJ,,,ランチセット　ソフトドリンク,内税,6000,18.7,6000,18.7,12,17.1,0,0.0,10454,,
☆Iレモネード,,,ランチセット　ソフトドリンク,内税,5060,15.7,5060,15.7,11,15.7,0,0.0,10456,,
☆GA,,,ランチセット　ソフトドリンク,内税,4800,14.9,4800,14.9,12,17.1,0,0.0,10452,,
☆コーラ,,,ランチセット　ソフトドリンク,内税,2000,6.2,2000,6.2,5,7.1,0,0.0,10451,,
☆りんごJ,,,ランチセット　ソフトドリンク,内税,2000,6.2,2000,6.2,5,7.1,0,0.0,10453,,
☆やまももソーダ,,,ランチセット　ソフトドリンク,内税,2000,6.2,2000,6.2,4,5.7,0,0.0,10514,,
☆レモネード,,,ランチセット　ソフトドリンク,内税,1290,4.0,1290,4.0,3,4.3,0,0.0,10455,,
