商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネソーダ,,,ソフトドリンク,内税,42260,29.2,42260,29.2,62,27.6,0,0.0,10215,,
バナJ,,,ソフトドリンク,内税,29860,20.6,29860,20.6,44,19.6,0,0.0,10057,,
レモネード,ICE,,ソフトドリンク,内税,15820,10.9,15820,10.9,24,10.7,0,0.0,10213,,
ココア,ホイップ有り,HOT,ソフトドリンク,内税,8820,6.1,8820,6.1,14,6.2,0,0.0,10050,,
レモネード,HOT,,ソフトドリンク,内税,8820,6.1,8820,6.1,14,6.2,0,0.0,10213,,
GA,,,ソフトドリンク,内税,7500,5.2,7500,5.2,15,6.7,0,0.0,10056,,
りんごJ,,,ソフトドリンク,内税,5500,3.8,5500,3.8,11,4.9,0,0.0,10055,,
ESPトニック,,,ソフトドリンク,内税,5460,3.8,5460,3.8,8,3.6,0,0.0,10216,,
ココア,ICE,,ソフトドリンク,内税,4760,3.3,4760,3.3,7,3.1,0,0.0,10050,,
Iレモネード,,,ソフトドリンク,内税,4610,3.2,4610,3.2,7,3.1,0,0.0,10214,,
ココア,ホイップ無し,HOT,ソフトドリンク,内税,3780,2.6,3780,2.6,6,2.7,0,0.0,10050,,
レモネード,,,ソフトドリンク,内税,2520,1.7,2520,1.7,4,1.8,0,0.0,10213,,
ミルク,ICE,,ソフトドリンク,内税,1590,1.1,1590,1.1,3,1.3,0,0.0,10052,,
Iココア,,,ソフトドリンク,内税,1360,0.9,1360,0.9,2,0.9,0,0.0,10051,,
ミルク,HOT,,ソフトドリンク,内税,1000,0.7,1000,0.7,2,0.9,0,0.0,10052,,
コーラ,,,ソフトドリンク,内税,1000,0.7,1000,0.7,2,0.9,0,0.0,10643,,
