商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
BC,,,コーヒー,内税,132310,40.2,132310,40.2,210,42.9,0,0.0,10000,,
IC,,,コーヒー,内税,74560,22.7,74560,22.7,110,22.5,0,0.0,10001,,
マンデ,HOT,,コーヒー,内税,31390,9.5,31390,9.5,43,8.8,0,0.0,10002,,
ダーク,HOT,,コーヒー,内税,13890,4.2,13890,4.2,19,3.9,0,0.0,10008,,
BC,BC,,コーヒー,内税,11970,3.6,11970,3.6,19,3.9,0,0.0,10000,,
モカ,HOT,,コーヒー,内税,11680,3.6,11680,3.6,16,3.3,0,0.0,10004,,
ブラジル,HOT,,コーヒー,内税,11030,3.4,11030,3.4,15,3.1,0,0.0,10006,,
デカフェ,HOT,,コーヒー,内税,7850,2.4,7850,2.4,11,2.2,0,0.0,10010,,
マンデ,,,コーヒー,内税,5840,1.8,5840,1.8,8,1.6,0,0.0,10002,,
ダーク,ICE,,コーヒー,内税,5320,1.6,5320,1.6,7,1.4,0,0.0,10008,,
BC,ICE,,コーヒー,内税,4080,1.2,4080,1.2,6,1.2,0,0.0,10000,,
デカフェ,ICE,,コーヒー,内税,3800,1.2,3800,1.2,5,1.0,0,0.0,10010,,
モカ,ICE,,コーヒー,内税,3120,0.9,3120,0.9,4,0.8,0,0.0,10004,,
マンデ,ICE,,コーヒー,内税,2310,0.7,2310,0.7,3,0.6,0,0.0,10002,,
Iモカ,,,コーヒー,内税,2260,0.7,2260,0.7,3,0.6,0,0.0,10005,,
デカフェ,,,コーヒー,内税,2130,0.6,2130,0.6,3,0.6,0,0.0,10010,,
ブラジル,ICE,,コーヒー,内税,1560,0.5,1560,0.5,2,0.4,0,0.0,10006,,
Iマンデ,,,コーヒー,内税,780,0.2,780,0.2,1,0.2,0,0.0,10003,,
Iデカフェ,,,コーヒー,内税,760,0.2,760,0.2,1,0.2,0,0.0,10011,,
モカ,,,コーヒー,内税,730,0.2,730,0.2,1,0.2,0,0.0,10004,,
ブラジル,,,コーヒー,内税,730,0.2,730,0.2,1,0.2,0,0.0,10006,,
ダーク,,,コーヒー,内税,730,0.2,730,0.2,1,0.2,0,0.0,10008,,
