商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
ラテ,HOT,,エスプレッソ,内税,65330,20.0,65330,20.0,99,19.8,0,0.0,10015,,
ラテ,ICE,,エスプレッソ,内税,44690,13.7,44690,13.7,65,13.0,0,0.0,10015,,
カプチ,シナモン有り,,エスプレッソ,内税,26520,8.1,26520,8.1,39,7.8,0,0.0,10014,,
IAC ,シングル,,エスプレッソ,内税,23350,7.2,23350,7.2,36,7.2,0,0.0,10345,,
O,ホイップ有り,HOT,エスプレッソ,内税,20160,6.2,20160,6.2,32,6.4,0,0.0,10021,,
Iラテ,,,エスプレッソ,内税,15180,4.7,15180,4.7,22,4.4,0,0.0,10016,,
AC ,シングル,,エスプレッソ,内税,15000,4.6,15000,4.6,25,5.0,0,0.0,10013,,
カフェモカ,HOT,,エスプレッソ,内税,14960,4.6,14960,4.6,22,4.4,0,0.0,10017,,
キャララテ,HOT,,エスプレッソ,内税,12260,3.8,12260,3.8,18,3.6,0,0.0,10019,,
ラテ,,,エスプレッソ,内税,10560,3.2,10560,3.2,16,3.2,0,0.0,10015,,
O,ホイップ無し,HOT,エスプレッソ,内税,10080,3.1,10080,3.1,16,3.2,0,0.0,10021,,
O,ICE,,エスプレッソ,内税,9460,2.9,9460,2.9,14,2.8,0,0.0,10021,,
キャララテ,ICE,,エスプレッソ,内税,7810,2.4,7810,2.4,11,2.2,0,0.0,10019,,
AC ,,,エスプレッソ,内税,6000,1.8,6000,1.8,10,2.0,0,0.0,10013,,
IO,,,エスプレッソ,内税,5940,1.8,5940,1.8,9,1.8,0,0.0,10022,,
カプチ,シナモン無し,,エスプレッソ,内税,5440,1.7,5440,1.7,8,1.6,0,0.0,10014,,
ESP ,シングル,,エスプレッソ,内税,3870,1.2,3870,1.2,9,1.8,0,0.0,10012,,
デカフェラテ,HOT,,エスプレッソ,内税,3500,1.1,3500,1.1,5,1.0,0,0.0,10276,,
キャララテ,,,エスプレッソ,内税,3400,1.0,3400,1.0,5,1.0,0,0.0,10019,,
AC ,ダブル,,エスプレッソ,内税,3200,1.0,3200,1.0,4,0.8,0,0.0,10013,,
デカフェラテ,ICE,,エスプレッソ,内税,2920,0.9,2920,0.9,4,0.8,0,0.0,10276,,
カフェモカ,ICE,,エスプレッソ,内税,2840,0.9,2840,0.9,4,0.8,0,0.0,10017,,
Iカフェモカ,,,エスプレッソ,内税,2130,0.7,2130,0.7,3,0.6,0,0.0,10018,,
Iキャララテ,,,エスプレッソ,内税,2130,0.7,2130,0.7,3,0.6,0,0.0,10020,,
ESP ,ダブル,,エスプレッソ,内税,1890,0.6,1890,0.6,3,0.6,0,0.0,10012,,
IAC ,ダブル,,エスプレッソ,内税,1700,0.5,1700,0.5,2,0.4,0,0.0,10345,,
カフェモカ,,,エスプレッソ,内税,1360,0.4,1360,0.4,2,0.4,0,0.0,10017,,
AC Ｗ,,,エスプレッソ,内税,800,0.2,800,0.2,1,0.2,0,0.0,10634,,
デカフェキャララテ,HOT,,エスプレッソ,内税,720,0.2,720,0.2,1,0.2,0,0.0,10496,,
デカフェラテ,,,エスプレッソ,内税,700,0.2,700,0.2,1,0.2,0,0.0,10276,,
IAC ,,,エスプレッソ,内税,650,0.2,650,0.2,1,0.2,0,0.0,10345,,
ESP W,,,エスプレッソ,内税,630,0.2,630,0.2,1,0.2,0,0.0,10202,,
豆乳,,,エスプレッソ,内税,560,0.2,560,0.2,7,1.4,0,0.0,10498,,
ESP ,,,エスプレッソ,内税,430,0.1,430,0.1,1,0.2,0,0.0,10012,,
