商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
チャイ,HOT,,紅茶　抹茶,内税,49640,17.6,49640,17.6,73,17.1,0,0.0,10041,,
抹ラテ,HOT,,紅茶　抹茶,内税,42180,14.9,42180,14.9,62,14.5,0,0.0,10047,,
IGTO,,,紅茶　抹茶,内税,27240,9.6,27240,9.6,40,9.3,0,0.0,10046,,
チャイ,ICE,,紅茶　抹茶,内税,17720,6.3,17720,6.3,25,5.8,0,0.0,10041,,
ET,ET,,紅茶　抹茶,内税,16800,5.9,16800,5.9,28,6.5,0,0.0,10035,,
チャイ,,,紅茶　抹茶,内税,14280,5.0,14280,5.0,21,4.9,0,0.0,10041,,
ST,ST,,紅茶　抹茶,内税,13250,4.7,13250,4.7,22,5.1,0,0.0,10037,,
ET,ICE ,,紅茶　抹茶,内税,12200,4.3,12200,4.3,20,4.7,0,0.0,10035,,
IGT,,,紅茶　抹茶,内税,9470,3.3,9470,3.3,15,3.5,0,0.0,10045,,
抹茶(お菓子付き),,,紅茶　抹茶,内税,9350,3.3,9350,3.3,11,2.6,0,0.0,10049,,
ゆず,HOT,,紅茶　抹茶,内税,8400,3.0,8400,3.0,14,3.3,0,0.0,10039,,
抹ラテ,ICE,,紅茶　抹茶,内税,7800,2.8,7800,2.8,11,2.6,0,0.0,10047,,
ET,EMT,,紅茶　抹茶,内税,6000,2.1,6000,2.1,10,2.3,0,0.0,10035,,
ST,MT,,紅茶　抹茶,内税,6000,2.1,6000,2.1,10,2.3,0,0.0,10037,,
抹ラテ,,,紅茶　抹茶,内税,5440,1.9,5440,1.9,8,1.9,0,0.0,10047,,
ゆず,ICE,,紅茶　抹茶,内税,5200,1.8,5200,1.8,8,1.9,0,0.0,10039,,
I抹ラテ,,,紅茶　抹茶,内税,4970,1.8,4970,1.8,7,1.6,0,0.0,10048,,
ET,ICEミルク,,紅茶　抹茶,内税,4200,1.5,4200,1.5,7,1.6,0,0.0,10035,,
ST,IST,,紅茶　抹茶,内税,3050,1.1,3050,1.1,5,1.2,0,0.0,10037,,
ET,ELT,,紅茶　抹茶,内税,3000,1.1,3000,1.1,5,1.2,0,0.0,10035,,
Iチャイ,,,紅茶　抹茶,内税,2840,1.0,2840,1.0,4,0.9,0,0.0,10042,,
ST,LT,,紅茶　抹茶,内税,2400,0.8,2400,0.8,4,0.9,0,0.0,10037,,
ゆず,,,紅茶　抹茶,内税,2400,0.8,2400,0.8,4,0.9,0,0.0,10039,,
IET,ストレート,,紅茶　抹茶,内税,1950,0.7,1950,0.7,3,0.7,0,0.0,10036,,
Iゆず,,,紅茶　抹茶,内税,1950,0.7,1950,0.7,3,0.7,0,0.0,10040,,
IET,レモン,,紅茶　抹茶,内税,1300,0.5,1300,0.5,2,0.5,0,0.0,10036,,
IST,ミルク,,紅茶　抹茶,内税,1300,0.5,1300,0.5,2,0.5,0,0.0,10038,,
ST,ILT,,紅茶　抹茶,内税,1200,0.4,1200,0.4,2,0.5,0,0.0,10037,,
IST,ストレート,,紅茶　抹茶,内税,650,0.2,650,0.2,1,0.2,0,0.0,10038,,
ST,IMT,,紅茶　抹茶,内税,600,0.2,600,0.2,1,0.2,0,0.0,10037,,
